SampleID,Zip_Code,Ward,ppb1,ppb2,ppb3,Lead_Level
74,48503,5,1.344,0.729,1.226,SAFE
75,48504,6,11.93,9.645,3.514,SAFE
76,48507,9,10.96,7.744,4.16,SAFE
77,48504,6,3.341,0.555,0.917,SAFE
78,48503,5,1.229,1.192,0.218,SAFE
79,48503,6,6.3,1.1,0.3,SAFE
79,48503,6,5.153,0.385,0.322,SAFE
80,48504,6,6.054,0.927,0.676,SAFE
82,48504,2,31.14,4.73,3.188,UNSAFE
83,48504,6,102.7,9.894,3.133,UNSAFE
84,48504,2,1.38,3.734,0.524,SAFE
85,48505,3,1.132,2.17,0.465,SAFE
87,48507,9,3.232,2.989,1.927,SAFE
88,48532,8,0.507,2.315,0.231,SAFE
90,48506,4,8.561,5.141,4.724,SAFE
91,48505,3,9.997,0.983,0.611,SAFE
92,48504,1,4.152,0.758,0.433,SAFE
93,48504,2,75.82,11.65,3.942,UNSAFE
95,48506,4,138.8,2.745,0.797,UNSAFE
96,48507,9,0.8,0.2,0.2,SAFE
97,48504,2,7.244,1051,1.328,SAFE
98,48506,3,1.621,0.3,0.238,SAFE
99,48505,1,1.032,0.363,0.216,SAFE
100,48504,2,0.866,0.292,0.269,SAFE
101,48504,2,2.525,0.59,0.438,SAFE
102,48505,5,9.408,4.444,3.935,SAFE
103,48505,2,0.739,4.883,0.953,SAFE
104,48505,1,0.9,0.2,0.1,SAFE
105,48504,2,1.403,0.142,0.121,SAFE
106,48503,8,5.655,5.882,10.66,SAFE
107,48505,2,31.06,8.578,3.176,UNSAFE
108,48506,4,1.469,0.291,0.25,SAFE
109,48505,1,23.85,2.301,1.62,UNSAFE
110,48505,2,9.766,11.13,7.144,SAFE
111,48505,1,4.69,0.953,0.929,SAFE
112,48505,3,4.066,5.894,4.76,SAFE
113,48505,1,0.846,0.455,0.366,SAFE
114,48505,1,2.054,3.978,0.355,SAFE
115,48506,7,3.744,5.592,2.476,SAFE
116,48507,9,12.9,2.202,1.667,SAFE
117,48505,1,0.543,0.183,0.162,SAFE
118,48503,7,6.877,2.984,2.201,SAFE
119,48505,1,0.552,0.19,0.205,SAFE
121,48506,3,59,2.9,0.5,UNSAFE
122,48506,4,0.349,0.13,0.131,SAFE
123,48506,4,4.764,1.388,1.06,SAFE
124,48506,4,0.832,0.284,0.214,SAFE
125,48506,4,1.224,0.568,0.465,SAFE
126,48507,9,15.9,3.7,2.2,UNSAFE
127,48506,4,5.667,1.405,0.896,SAFE
128,48506,4,3.564,2.767,2.127,SAFE
129,48506,4,0.475,0.2,0.268,SAFE
130,48507,9,5.3,0.5,0.2,SAFE
131,48506,4,1.166,0.736,0.269,SAFE
132,48506,4,0.684,0.306,0.094,SAFE
133,48503,8,6.347,1.724,0.678,SAFE
134,48507,9,10.56,5.672,4.813,SAFE
135,48502,5,2.273,2.808,3.048,SAFE
136,48505,1,1.571,1.265,0.316,SAFE
137,48503,8,5.402,4.196,1.945,SAFE
138,48504,6,43.19,7.688,4.39,UNSAFE
139,48503,8,1.492,1.409,0.378,SAFE
140,48503,5,66.24,17.75,8.815,UNSAFE
141,48505,1,1.799,0.032,0.031,SAFE
142,48503,8,1.861,1.355,0.64,SAFE
143,48503,8,2.672,2.001,1.094,SAFE
144,48505,1,3.741,1.211,0.258,SAFE
145,48506,4,1.934,0.374,0.424,SAFE
146,48506,4,27.05,0.902,0.61,UNSAFE
147,48506,4,1.174,0.291,4.055,SAFE
148,48507,9,2.325,1.099,0.466,SAFE
149,48506,4,1.966,0.253,0.201,SAFE
150,48506,4,1.959,0.438,0.448,SAFE
151,48506,4,0.823,1.881,0.412,SAFE
152,48506,4,11.2,7.553,12.21,SAFE
153,48504,2,5.668,3.341,3.268,SAFE
154,48506,4,6.261,1.316,0.5,SAFE
155,48506,4,4.797,1.594,1.264,SAFE
156,48506,4,0.64,0.905,0.151,SAFE
158,48507,9,8.713,2.799,50.97,SAFE
159,48507,9,2.544,1.099,0.498,SAFE
161,48507,9,0.41,0.096,0.116,SAFE
162,48503,7,32.85,35.76,9.103,UNSAFE
163,48503,7,12.87,14.87,6.326,SAFE
164,48503,8,38.02,38.7,38.94,UNSAFE
165,48507,9,2.435,8.183,1.296,SAFE
166,48507,9,2.997,1.867,1.512,SAFE
167,48507,9,11,10.53,8.688,SAFE
168,48507,9,6.219,12.33,4.202,SAFE
169,48503,8,8.8,3.1,4.5,SAFE
170,48504,6,8.071,0.947,0.839,SAFE
171,48507,9,3.262,0.453,0.252,SAFE
172,48503,8,2.267,0.541,0.391,SAFE
173,48505,3,0.922,0.878,0.491,SAFE
174,48504,6,27.02,31.25,11.37,UNSAFE
176,48503,8,0.906,0.961,1.052,SAFE
177,48507,9,2.85,6.862,0.951,SAFE
178,48504,2,1.852,0.472,0.422,SAFE
179,48506,4,5.35,1.328,0.595,SAFE
180,48503,7,25.21,4.337,1.019,UNSAFE
182,48504,6,15.55,3.962,1.861,UNSAFE
183,48506,4,0.793,0.533,0.391,SAFE
184,48506,4,5.068,0.683,0.489,SAFE
185,48507,8,26.64,8.878,6.619,UNSAFE
186,48506,4,1.867,0.165,0.175,SAFE
189,48506,4,19.16,12.54,7.719,UNSAFE
191,48503,5,28.7,12.7,8.6,UNSAFE
192,48507,9,20.22,8.908,6.677,UNSAFE
193,48507,8,2.9,0.6,0.7,SAFE
194,48503,7,18.86,5.051,2.548,UNSAFE
195,48507,9,2.816,0.324,0.362,SAFE
196,48506,3,118.4,40.78,39.99,UNSAFE
197,48506,3,27.45,0.939,0.533,UNSAFE
198,48503,7,1.2,0.1,0.1,SAFE
200,48506,4,4.681,0.755,0.456,SAFE
201,48506,3,11.57,6.08,1.782,SAFE
202,48532,8,6.557,0.289,0.371,SAFE
203,48505,3,3.4,9.6,1.7,SAFE
204,48504,6,0.7,0.2,0.2,SAFE
205,48507,8,158,90.83,91.69,UNSAFE
206,48506,4,0.977,0.47,0.381,SAFE
207,48503,8,8.471,4.692,1.48,SAFE
208,48507,9,11.47,23.15,7.129,SAFE
209,48503,7,5.228,2.477,1.014,SAFE
210,48507,9,0.956,0.196,0.157,SAFE
211,48504,6,1.671,0.405,4.721,SAFE
212,48507,9,1.152,0.708,0.282,SAFE
213,48507,9,0.5,0.1,0.1,SAFE
214,48503,5,10.74,2.331,1.628,SAFE
215,48507,9,3.9,0.4,0.2,SAFE
216,48507,9,2.149,0.368,0.333,SAFE
217,48506,4,1.1,0.4,0.2,SAFE
218,48507,9,7.087,9.467,1.28,SAFE
219,48505,1,1.329,0.609,0.527,SAFE
220,48507,9,6.2,0.7,0.6,SAFE
221,48505,3,0.8,0.26,0.255,SAFE
222,48503,8,9.3,9.7,5,SAFE
223,48504,2,2.1,1.2,0.5,SAFE
224,48505,1,4.563,3.106,2.997,SAFE
225,48504,2,4.808,6.196,1.523,SAFE
226,48504,2,0.753,2.526,0.549,SAFE
227,48505,1,1.862,1.213,0.898,SAFE
228,48503,7,1.183,0.366,0.201,SAFE
229,48503,7,8.2,3.2,2.6,SAFE
230,48504,6,3.679,0.498,0.288,SAFE
231,48505,1,2.37,7.333,3.797,SAFE
234,48504,2,0.828,1.318,0.233,SAFE
235,48503,7,0.719,0.254,0.058,SAFE
236,48504,1,2.822,1.221,0.258,SAFE
237,48504,8,2.867,0.723,0.744,SAFE
238,48503,7,2.332,3.588,1.221,SAFE
240,48503,8,4.401,2.111,1.572,SAFE
241,48504,6,2.708,2.238,0.809,SAFE
242,48504,6,34.13,6.002,1.71,UNSAFE
243,48503,7,5.218,2.614,0.831,SAFE
244,48503,7,15.73,13.95,3.584,UNSAFE
245,48504,6,3.045,2.744,0.299,SAFE
246,48503,7,1.1,0.5,0.3,SAFE
247,48503,7,1.386,0.288,0.432,SAFE
248,48504,6,0.915,0.354,0.306,SAFE
249,48504,6,2.145,0.345,3.738,SAFE
250,48507,8,4.056,0.547,0.378,SAFE
251,48503,7,1.668,1.508,2.72,SAFE
252,48503,7,7.575,1.362,1.094,SAFE
253,48507,8,5.59,4.306,2.019,SAFE
254,48503,5,0.708,0.326,0.303,SAFE
255,48504,6,1.701,4.397,1.287,SAFE
256,48504,6,1.467,0.149,0.137,SAFE
258,48504,2,2.582,259.8,61.96,SAFE
259,48505,2,22.08,15.86,9.262,UNSAFE
260,48507,8,16.51,2.024,7.068,UNSAFE
262,48507,8,56.26,4.692,1.243,UNSAFE
263,48504,6,2.433,1.334,1.376,SAFE
264,48503,7,0.5,0.2,0.5,SAFE
265,48504,6,29.13,11.57,6.388,UNSAFE
266,48505,1,12.3,0.5,0.4,SAFE
267,48504,6,3.445,0.29,0.167,SAFE
268,48507,9,16.49,12.83,9.018,UNSAFE
269,48503,7,3.365,2.45,1.675,SAFE
270,48503,7,1.154,0.176,0.12,SAFE
271,48507,9,13.53,21.91,4.675,SAFE
272,48504,6,2.229,1.573,0.84,SAFE
273,48503,7,28.91,5.471,3.056,UNSAFE
274,48503,7,6.601,1.929,0.417,SAFE
275,48507,9,0.948,0.27,0.207,SAFE
276,48505,3,3.484,0.434,0.306,SAFE
278,48503,7,1.888,0.359,0.322,SAFE
279,48503,7,13.95,12.2,8.251,SAFE
280,48504,6,6.27,4.036,1.182,SAFE
281,48506,7,19.12,22.02,7.968,UNSAFE
282,48507,9,1.633,0.465,0.238,SAFE
283,48503,7,1.114,0.605,0.255,SAFE
284,48503,7,3.9,0.558,0.504,SAFE
285,48504,1,3.521,0.45,0.321,SAFE
286,48507,9,3.832,0.794,0.339,SAFE
287,48505,3,3.243,0.738,0.27,SAFE
289,48503,7,0.99,0.25,0.263,SAFE
290,48507,9,1.203,19.26,1.626,SAFE
291,48506,3,2.261,0.102,0.407,SAFE
292,48503,4,16.99,6.32,3.585,UNSAFE
293,48503,7,3.322,2.559,1.512,SAFE
294,48506,4,14.33,1.284,0.323,SAFE
295,48503,7,18.11,20.21,4.263,UNSAFE
296,48503,7,12.81,7.874,1.78,SAFE
298,48503,7,1.083,0.322,0.26,SAFE
299,48503,7,29.59,3.258,1.843,UNSAFE
300,48505,1,4.287,4.345,4.905,SAFE
