Date,Dispatched,Encounter_Type,Area_Stopped_OPD,Intelligence_Led_Factor,Reason_for_Stop,Traffic_type_Detail,Location_Vehicle_Occupant,Subject_Sex,Subject_Race,Result_of_Stop
2/10/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,M,Afr American,No Action
1/18/2021,No,Pedestrian,Area 4,Yes,Probable Cause,,,M,Afr American,Warning
1/26/2021,Yes,Pedestrian,Area 4,No,Community Caretaking,,,F,Other,No Action
2/17/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,M,Asian,Other
2/3/2021,No,Vehicle,Area 4,NO,Traffic Violation,Equipment violation,Passenger,M,Afr American,No Action
2/11/2021,Yes,Other,Area 2,Yes,Reasonable Suspicion,,,F,White,Warning
2/11/2021,Yes,Other,Area 2,Yes,Reasonable Suspicion,,,M,White,Arrest
3/12/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,Passenger,F,Hispanic,Psychiatric Hold
3/22/2021,Yes,Pedestrian,Area 4,No,Community Caretaking,,,M,Hispanic,Psychiatric Hold
1/6/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,M,Asian,Other
1/29/2021,Yes,Vehicle,Area 5,No,Probable Cause,,Driver,F,White,Arrest
3/3/2021,Yes,Pedestrian,Area 3,Yes,Community Caretaking,,,M,White,No Action
3/29/2021,Yes,Pedestrian,Area 4,No,Community Caretaking,,,M,Afr American,Other
1/19/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,Driver,M,Hispanic,No Action
1/23/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,,F,Hispanic,Psychiatric Hold
2/1/2021,Yes,Pedestrian,Area 2,Yes,Community Caretaking,,,M,Other,Psychiatric Hold
2/22/2021,Yes,Pedestrian,Area 4,No,Probable Cause,,,M,White,Arrest
2/22/2021,Yes,Pedestrian,Area 4,No,Reasonable Suspicion,,,M,Hispanic,No Action
2/22/2021,Yes,Pedestrian,Area 4,No,Reasonable Suspicion,,,M,Hispanic,Other
3/8/2021,Yes,Pedestrian,Area 4,No,Community Caretaking,,,M,Hispanic,No Action
1/31/2021,Yes,Pedestrian,Area 2,No,Probable Cause,,,M,Afr American,Arrest
2/27/2021,Yes,Pedestrian,Area 1,No,Consensual Encounter & Search,,,M,White,No Action
1/14/2021,Yes,Pedestrian,Area 4,No,Community Caretaking,,,M,Afr American,Psychiatric Hold
3/20/2021,Yes,Pedestrian,Area 2,No,Probable Cause,,,M,Other,Arrest
3/18/2021,No,Vehicle,Area 4,Yes,Consensual Encounter & Search,,Passenger,F,Afr American,No Action
2/18/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,F,Afr American,Arrest
2/19/2021,No,Pedestrian,Area 5,Yes,Probable Cause,,Other,M,Afr American,Arrest
3/8/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,M,Hispanic,Psychiatric Hold
1/14/2021,No,Vehicle,Area 5,Yes,Probable Cause,,Other,M,Afr American,Arrest
1/14/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,Other,M,Afr American,No Action
2/3/2021,Yes,Other,Area 5,No,Probable Cause,,,F,White,Arrest
2/20/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,M,Hispanic,Psychiatric Hold
3/29/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Afr American,Arrest
2/24/2021,Yes,Pedestrian,Area 5,Yes,Community Caretaking,,,M,Afr American,No Action
2/1/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,M,Afr American,Psychiatric Hold
2/19/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Afr American,Arrest
2/8/2021,Yes,Vehicle,Area 5,No,Reasonable Suspicion,,Driver,M,Afr American,Warning
3/15/2021,No,Vehicle,Area 5,No,Traffic Violation,Moving violation,Driver,F,Hispanic,Citation
2/12/2021,No,Vehicle,Area 5,No,Traffic Violation,Moving violation,Driver,M,Afr American,Arrest
3/10/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,,F,Afr American,No Action
2/24/2021,Yes,Pedestrian,Area 5,No,Probable Cause,,,M,Afr American,Arrest
3/4/2021,No,Other,Area 5,Yes,Probable Cause,,Other,F,Hispanic,No Action
3/19/2021,Yes,Pedestrian,Area 5,Yes,Community Caretaking,,,M,Afr American,Psychiatric Hold
1/9/2021,No,Pedestrian,Area 5,Yes,Probable Cause,,,M,Afr American,Citation
3/19/2021,Yes,Pedestrian,Area 5,Yes,Reasonable Suspicion,,Other,F,Asian,No Action
3/19/2021,Yes,Pedestrian,Area 5,Yes,Reasonable Suspicion,,Other,M,Asian,No Action
3/25/2021,Yes,Other,Area 5,No,Probable Cause,,,F,Afr American,Arrest
3/19/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Asian,No Action
3/19/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,F,Asian,No Action
3/20/2021,Yes,Pedestrian,Area 5,Yes,Reasonable Suspicion,,,M,Asian,No Action
3/20/2021,Yes,Pedestrian,Area 5,Yes,Reasonable Suspicion,,,M,Asian,No Action
2/7/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,F,Asian,Arrest
2/7/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Afr American,No Action
3/8/2021,Yes,Pedestrian,Area 5,Yes,Community Caretaking,,,M,Afr American,Psychiatric Hold
3/19/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Asian,No Action
3/19/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,F,Asian,No Action
3/19/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Asian,No Action
3/19/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Asian,No Action
3/19/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Asian,No Action
3/19/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Asian,No Action
3/19/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Afr American,No Action
3/19/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Asian,No Action
3/19/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Asian,No Action
3/19/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Asian,No Action
3/24/2021,Yes,Pedestrian,Area 5,No,Community Caretaking,,,M,White,Psychiatric Hold
1/29/2021,No,Pedestrian,Area 5,Yes,Probable Cause,,Other,M,Afr American,Arrest
1/7/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Afr American,Arrest
2/6/2021,No,Pedestrian,Area 5,No,Probable Cause,,,F,Afr American,Arrest
2/6/2021,No,Pedestrian,Area 5,No,Probable Cause,,,F,White,Arrest
2/9/2021,No,Other,Area 5,No,Community Caretaking,,,F,Other,Psychiatric Hold
3/12/2021,Yes,Pedestrian,Area 5,Yes,Probable Cause,,,M,Afr American,Arrest
3/6/2021,Yes,Pedestrian,Area 5,No,Reasonable Suspicion,,,M,Afr American,Arrest
2/25/2021,No,Vehicle,Area 3,No,Traffic Violation,Moving violation,Driver,M,Asian,Citation
2/25/2021,No,Vehicle,Area 3,No,Traffic Violation,Moving violation,Driver,M,Asian,Citation
1/25/2021,Yes,Pedestrian,Area 1,Yes,Probable Cause,,Other,F,Afr American,Arrest
2/6/2021,Yes,Other,Area 1,Yes,Probable Cause,,Other,F,Asian,No Action
2/20/2021,No,Vehicle,Area 1,Yes,Traffic Violation,Moving violation,Driver,M,Afr American,Warning
2/22/2021,Yes,Pedestrian,Area 1,No,Probable Cause,,,M,Afr American,Warning
2/2/2021,Yes,Pedestrian,Area 3,Yes,Probable Cause,,,M,Hispanic,Arrest
3/28/2021,No,Vehicle,Area 3,Yes,Traffic Violation,Equipment violation,Driver,M,Afr American,Arrest
3/28/2021,No,Vehicle,Area 3,Yes,Probable Cause,,Passenger,F,Afr American,No Action
2/19/2021,Yes,Pedestrian,Area 3,Yes,Community Caretaking,,,M,Afr American,Psychiatric Hold
1/17/2021,No,Vehicle,Area 1,No,Traffic Violation,"Non-moving violation, including registration",Driver,M,Other,Warning
1/23/2021,Yes,Pedestrian,Area 1,Yes,Reasonable Suspicion,,,M,White,Arrest
2/25/2021,No,Vehicle,Area 3,No,Traffic Violation,Moving violation,Driver,M,Asian,Citation
3/11/2021,Yes,Pedestrian,Area 3,Yes,Reasonable Suspicion,,,M,Afr American,Arrest
1/29/2021,Yes,Pedestrian,Area 1,Yes,Probable Cause,,,M,Afr American,Arrest
2/2/2021,No,Vehicle,Area 4,Yes,Probable Cause,,Driver,M,Hispanic,Arrest
2/8/2021,No,Pedestrian,Area 1,No,Probable Cause,,,F,Afr American,Arrest
2/8/2021,No,Pedestrian,Area 1,No,Probable Cause,,,M,Afr American,No Action
2/8/2021,No,Pedestrian,Area 1,No,Probable Cause,,,M,Hispanic,Arrest
2/11/2021,Yes,Pedestrian,Area 1,Yes,Community Caretaking,,,F,Hispanic,Psychiatric Hold
2/17/2021,No,Vehicle,Area 1,Yes,Probable Cause,,Driver,M,Hispanic,Arrest
3/7/2021,No,Vehicle,Area 1,Yes,Traffic Violation,"Non-moving violation, including registration",Driver,M,Afr American,Warning
3/11/2021,Yes,Pedestrian,Area 1,Yes,Community Caretaking,,,F,Hispanic,Psychiatric Hold
3/15/2021,Yes,Pedestrian,Area 1,Yes,Reasonable Suspicion,,Other,M,Afr American,No Action
3/16/2021,No,Pedestrian,Area 4,Yes,Reasonable Suspicion,,,M,Afr American,Arrest
3/19/2021,No,Vehicle,Area 3,No,Probable Cause,,Driver,F,Hispanic,Arrest
3/20/2021,No,Vehicle,Area 1,No,Traffic Violation,Moving violation,Driver,M,Afr American,Citation
3/17/2021,Yes,Pedestrian,Area 3,Yes,Community Caretaking,,,F,Afr American,Psychiatric Hold
3/21/2021,Yes,Pedestrian,Area 3,Yes,Community Caretaking,,,F,Hispanic,Psychiatric Hold
1/15/2021,Yes,Pedestrian,Area 3,Yes,Probable Cause,,,M,Afr American,Arrest
1/11/2021,No,Pedestrian,Area 3,Yes,Probable Cause,,,M,Hispanic,Citation
2/11/2021,Yes,Pedestrian,Area 3,Yes,Community Caretaking,,,M,Afr American,Psychiatric Hold
3/14/2021,No,Pedestrian,Area 3,Yes,Probable Cause,,,F,Afr American,Arrest
1/5/2021,No,Pedestrian,Area 3,Yes,Probation/Parole,,Other,M,Afr American,Arrest
2/12/2021,No,Vehicle,Area 3,Yes,Reasonable Suspicion,,Driver,M,Hispanic,Arrest
2/13/2021,Yes,Pedestrian,Area 3,Yes,Community Caretaking,,,F,White,Psychiatric Hold
1/11/2021,Yes,Pedestrian,Area 1,Yes,Community Caretaking,,,M,White,Psychiatric Hold
1/30/2021,No,Vehicle,Area 1,Yes,Traffic Violation,Moving violation,Passenger,M,Hispanic,No Action
1/30/2021,No,Vehicle,Area 1,Yes,Traffic Violation,Moving violation,Driver,M,Hispanic,No Action
1/30/2021,No,Vehicle,Area 1,Yes,Traffic Violation,Moving violation,Passenger,F,Hispanic,No Action
1/30/2021,No,Vehicle,Area 1,Yes,Traffic Violation,Moving violation,Passenger,F,Hispanic,No Action
1/30/2021,No,Vehicle,Area 1,Yes,Traffic Violation,Moving violation,Passenger,M,Afr American,No Action
2/15/2021,Yes,Pedestrian,Area 1,Yes,Probable Cause,,Driver,M,Afr American,Arrest
3/24/2021,Yes,Other,Area 1,Yes,Community Caretaking,,,M,Asian,Psychiatric Hold
3/26/2021,Yes,Pedestrian,Area 3,Yes,Reasonable Suspicion,,,M,Afr American,Arrest
1/4/2021,Yes,Pedestrian,Area 3,Yes,Community Caretaking,,,M,Hispanic,Psychiatric Hold
1/11/2021,No,Vehicle,Area 3,No,Traffic Violation,Moving violation,Driver,M,Other,Warning
1/30/2021,No,Vehicle,Area 3,Yes,Probable Cause,,Driver,F,White,Arrest
3/7/2021,Yes,Pedestrian,Area 3,Yes,Community Caretaking,,,F,Afr American,Psychiatric Hold
3/24/2021,Yes,Other,Area 3,Yes,Community Caretaking,,,F,Hispanic,Psychiatric Hold
1/12/2021,Yes,Pedestrian,Area 3,No,Probable Cause,,,F,Afr American,Arrest
1/6/2021,Yes,Pedestrian,Area 1,Yes,Probable Cause,,,M,Afr American,Arrest
1/16/2021,Yes,Pedestrian,Area 1,No,Community Caretaking,,,F,Afr American,Psychiatric Hold
1/21/2021,Yes,Pedestrian,Area 1,Yes,Community Caretaking,,,M,Afr American,Psychiatric Hold
1/23/2021,No,Pedestrian,Area 1,No,Community Caretaking,,,M,Hispanic,Psychiatric Hold
1/24/2021,No,Vehicle,Area 1,No,Traffic Violation,Moving violation,Driver,M,Other,Citation
2/1/2021,Yes,Pedestrian,Area 1,No,Probable Cause,,,M,Afr American,Warning
2/9/2021,No,Pedestrian,Area 1,Yes,Probable Cause,,,M,White,Arrest
2/25/2021,Yes,Pedestrian,Area 1,No,Probable Cause,,,M,Hispanic,Arrest
3/4/2021,Yes,Vehicle,Area 1,Yes,Community Caretaking,,Driver,M,Afr American,No Action
3/4/2021,Yes,Vehicle,Area 1,Yes,Community Caretaking,,Other,M,Afr American,No Action
3/5/2021,Yes,Pedestrian,Area 1,No,Community Caretaking,,,M,Hispanic,Other
3/19/2021,Yes,Pedestrian,Area 1,No,Consensual Encounter & Search,,,M,Afr American,Psychiatric Hold
3/23/2021,Yes,Pedestrian,Area 1,No,Community Caretaking,,,M,Afr American,Psychiatric Hold
3/28/2021,Yes,Vehicle,Area 1,No,Probable Cause,,Driver,M,Afr American,Arrest
3/30/2021,Yes,Pedestrian,Area 1,No,Reasonable Suspicion,,,M,Afr American,No Action
2/21/2021,Yes,Pedestrian,Area 1,No,Reasonable Suspicion,,Other,M,Afr American,Arrest
3/15/2021,Yes,Other,Area 1,Yes,Community Caretaking,,Other,F,Asian,Psychiatric Hold
1/3/2021,No,Vehicle,Area 3,No,Traffic Violation,Equipment violation,Driver,M,Afr American,Warning
1/23/2021,No,Vehicle,Area 3,Yes,Probable Cause,,Passenger,M,Afr American,Arrest
2/25/2021,No,Vehicle,Area 3,No,Traffic Violation,Moving violation,Driver,M,Other,Citation
2/11/2021,Yes,Pedestrian,Area 1,No,Probable Cause,,,M,Afr American,Arrest
2/22/2021,Yes,Other,Area 1,Yes,Probable Cause,,,M,White,Arrest
2/22/2021,Yes,Other,Area 1,Yes,Probable Cause,,,F,White,Arrest
2/22/2021,Yes,Other,Area 1,Yes,Probable Cause,,,M,White,Arrest
2/23/2021,Yes,Pedestrian,Area 1,Yes,Community Caretaking,,,M,Afr American,Psychiatric Hold
3/7/2021,Yes,Pedestrian,Area 3,Yes,Community Caretaking,,,M,White,Psychiatric Hold
3/10/2021,No,Pedestrian,Area 1,Yes,Probable Cause,,,M,Afr American,Arrest
1/19/2021,Yes,Pedestrian,Area 1,No,Traffic Violation,Moving violation,Driver,M,Afr American,Warning
1/19/2021,Yes,Pedestrian,Area 1,No,Traffic Violation,Moving violation,Passenger,M,Afr American,Warning
2/4/2021,Yes,Pedestrian,Area 3,No,Reasonable Suspicion,,,M,Afr American,Arrest
2/20/2021,Yes,Vehicle,Area 3,Yes,Probable Cause,,Driver,M,Hispanic,Warning
1/4/2021,No,Vehicle,Area 3,No,Traffic Violation,Equipment violation,Driver,F,Afr American,Warning
1/26/2021,Yes,Pedestrian,Area 3,Yes,Reasonable Suspicion,,,M,Afr American,Warning
2/9/2021,No,Vehicle,Area 3,Yes,Traffic Violation,Moving violation,Driver,M,Afr American,Arrest
2/9/2021,No,Vehicle,Area 3,Yes,Traffic Violation,Moving violation,Passenger,M,Afr American,No Action
2/25/2021,No,Vehicle,Area 3,No,Traffic Violation,Moving violation,Driver,M,Hispanic,Citation
2/25/2021,No,Vehicle,Area 3,No,Traffic Violation,Moving violation,Driver,M,Asian,Citation
3/10/2021,Yes,Pedestrian,Area 3,Yes,Probable Cause,,,M,Hispanic,Arrest
3/30/2021,No,Vehicle,Area 3,No,Traffic Violation,Moving violation,Driver,M,Other,Arrest
1/24/2021,Yes,Pedestrian,Area 3,Yes,Reasonable Suspicion,,Other,M,Hispanic,No Action
1/24/2021,Yes,Pedestrian,Area 3,Yes,Reasonable Suspicion,,Other,M,White,No Action
2/28/2021,Yes,Pedestrian,Area 3,Yes,Probable Cause,,,M,Afr American,No Action
1/27/2021,Yes,Other,Area 1,No,Community Caretaking,,,M,Afr American,Psychiatric Hold
2/8/2021,Yes,Pedestrian,Area 1,No,Community Caretaking,,,M,Afr American,No Action
2/23/2021,No,Vehicle,Area 1,Yes,Probable Cause,,Driver,M,White,Arrest
3/6/2021,Yes,Vehicle,Area 4,No,Reasonable Suspicion,,Driver,M,Hispanic,Arrest
3/7/2021,Yes,Pedestrian,Area 1,No,Reasonable Suspicion,,,F,Afr American,Arrest
3/24/2021,Yes,Pedestrian,Area 1,No,Probable Cause,,,M,Afr American,Arrest
3/24/2021,Yes,Pedestrian,Area 1,No,Community Caretaking,,,M,Afr American,Arrest
2/2/2021,Yes,Pedestrian,Area 4,No,Probable Cause,,,M,Asian,Arrest
2/19/2021,No,Vehicle,Area 3,Yes,Traffic Violation,Equipment violation,Driver,M,Afr American,Warning
2/19/2021,No,Vehicle,Area 3,Yes,Traffic Violation,Equipment violation,Passenger,F,Afr American,No Action
2/19/2021,No,Vehicle,Area 3,Yes,Traffic Violation,Equipment violation,Passenger,F,Other,No Action
2/19/2021,No,Vehicle,Area 3,Yes,Traffic Violation,Equipment violation,Passenger,M,Afr American,No Action
1/26/2021,Yes,Pedestrian,Area 1,Yes,Probable Cause,,,F,Afr American,Arrest
1/27/2021,Yes,Pedestrian,Area 4,Yes,Reasonable Suspicion,,,M,Hispanic,Arrest
2/2/2021,Yes,Pedestrian,Area 1,Yes,Probable Cause,,,M,Afr American,Warning
2/7/2021,Yes,Pedestrian,Area 1,No,Probable Cause,,Other,M,Hispanic,Arrest
2/21/2021,Yes,Pedestrian,Area 1,Yes,Probable Cause,,,M,Hispanic,Arrest
3/5/2021,No,Pedestrian,Area 1,Yes,Community Caretaking,,,M,White,No Action
3/30/2021,Yes,Pedestrian,Area 1,Yes,Community Caretaking,,,M,Hispanic,Psychiatric Hold
2/6/2021,No,Vehicle,Area 3,Yes,Traffic Violation,Equipment violation,Driver,M,Afr American,Warning
2/6/2021,No,Vehicle,Area 3,Yes,Traffic Violation,Equipment violation,Passenger,M,Hispanic,No Action
2/20/2021,No,Vehicle,Area 3,No,Traffic Violation,Moving violation,Driver,M,Hispanic,Citation
1/16/2021,Yes,Pedestrian,Area 3,Yes,Community Caretaking,,,F,Hispanic,No Action
2/10/2021,No,Pedestrian,Area 3,Yes,Reasonable Suspicion,,,M,Afr American,No Action
2/23/2021,No,Vehicle,Area 3,No,Traffic Violation,Moving violation,Driver,F,Asian,Citation
2/26/2021,No,Pedestrian,Area 3,Yes,Reasonable Suspicion,,,F,Afr American,Warning
1/1/2021,Yes,Pedestrian,Area 1,Yes,Community Caretaking,,,M,Afr American,Psychiatric Hold
1/30/2021,Yes,Pedestrian,Area 3,Yes,Probable Cause,,,M,Afr American,Warning
2/2/2021,No,Vehicle,Area 1,No,Traffic Violation,Moving violation,Driver,F,Afr American,Citation
3/25/2021,Yes,Vehicle,Area 1,Yes,Reasonable Suspicion,,Passenger,F,White,No Action
1/7/2021,Yes,Pedestrian,Area 3,Yes,Probable Cause,,Other,M,Other,No Action
1/24/2021,Yes,Vehicle,Area 3,Yes,Reasonable Suspicion,,Driver,M,Afr American,Warning
2/14/2021,Yes,Vehicle,Area 3,Yes,Probable Cause,,Driver,M,Afr American,No Action
3/30/2021,No,Vehicle,Area 3,No,Probable Cause,,Driver,M,Afr American,Arrest
3/30/2021,No,Vehicle,Area 3,No,Probable Cause,,Driver,F,White,Arrest
1/8/2021,No,Pedestrian,Area 3,Yes,Probable Cause,,,M,Afr American,Arrest
1/9/2021,Yes,Vehicle,Area 3,Yes,Reasonable Suspicion,,Driver,F,Afr American,Arrest
1/9/2021,Yes,Vehicle,Area 3,Yes,Reasonable Suspicion,,Passenger,M,Afr American,Arrest
1/9/2021,Yes,Vehicle,Area 3,Yes,Reasonable Suspicion,,Passenger,M,Afr American,Arrest
2/15/2021,No,Pedestrian,Area 3,No,Community Caretaking,,,F,Hispanic,Psychiatric Hold
3/5/2021,No,Vehicle,Area 3,No,Probable Cause,,Driver,F,Afr American,Arrest
3/5/2021,No,Vehicle,Area 3,No,Probable Cause,,Passenger,F,Hispanic,Warning
3/19/2021,No,Vehicle,Area 3,No,Traffic Violation,Moving violation,Driver,M,Afr American,Citation
1/23/2021,No,Vehicle,Area 3,No,Traffic Violation,Moving violation,Driver,F,Afr American,Warning
2/25/2021,No,Vehicle,Area 3,No,Traffic Violation,Moving violation,Driver,M,Afr American,Citation
3/21/2021,Yes,Pedestrian,Area 3,Yes,Community Caretaking,,,F,Afr American,Psychiatric Hold
3/21/2021,Yes,Pedestrian,Area 3,Yes,Community Caretaking,,,F,Afr American,Psychiatric Hold
1/23/2021,Yes,Vehicle,Area 3,No,Reasonable Suspicion,,Driver,M,Hispanic,Arrest
3/19/2021,No,Vehicle,Area 3,No,Traffic Violation,Moving violation,Driver,M,Hispanic,Citation
2/14/2021,No,Vehicle,Area 3,No,Traffic Violation,Moving violation,Driver,M,Other,Warning
3/13/2021,Yes,Pedestrian,Area 3,Yes,Community Caretaking,,,M,Afr American,Psychiatric Hold
2/10/2021,No,Vehicle,Area 3,No,Traffic Violation,Moving violation,Driver,M,Afr American,Warning
1/10/2021,Yes,Vehicle,Area 3,Yes,Probable Cause,,Driver,M,Other,Arrest
2/19/2021,Yes,Pedestrian,Area 3,Yes,Reasonable Suspicion,,,F,Afr American,Warning
1/23/2021,Yes,Pedestrian,Area 1,No,Community Caretaking,,,M,White,No Action
2/3/2021,Yes,Pedestrian,Area 1,Yes,Community Caretaking,,,M,Afr American,Psychiatric Hold
1/5/2021,Yes,Vehicle,Area 1,Yes,Probable Cause,,Passenger,M,Afr American,No Action
1/5/2021,Yes,Vehicle,Area 1,Yes,Probable Cause,,Driver,F,Afr American,No Action
1/23/2021,Yes,Pedestrian,Area 1,Yes,Probable Cause,,,M,Hispanic,Arrest
3/29/2021,No,Vehicle,Area 2,No,Traffic Violation,Moving violation,Driver,M,Hispanic,Citation
1/3/2021,Yes,Pedestrian,Area 3,Yes,Community Caretaking,,,M,Hispanic,No Action
2/2/2021,No,Vehicle,Area 3,No,Traffic Violation,Moving violation,Driver,M,Afr American,Warning
2/23/2021,Yes,Pedestrian,Area 3,Yes,Reasonable Suspicion,,,M,Hispanic,Arrest
1/22/2021,Yes,Pedestrian,Area 3,Yes,Community Caretaking,,,M,Hispanic,Psychiatric Hold
2/28/2021,No,Vehicle,Area 3,Yes,Reasonable Suspicion,,Driver,M,Hispanic,No Action
2/28/2021,No,Vehicle,Area 3,Yes,Reasonable Suspicion,,Passenger,M,Hispanic,No Action
3/7/2021,Yes,Vehicle,Area 3,Yes,Probable Cause,,Passenger,M,White,Citation
3/7/2021,Yes,Vehicle,Area 3,Yes,Probable Cause,,Driver,F,Afr American,Citation
1/15/2021,Yes,Pedestrian,Area 1,Yes,Probable Cause,,,M,Afr American,Arrest
1/15/2021,Yes,Other,Area 1,Yes,Community Caretaking,,,F,Other,Arrest
2/12/2021,Yes,Pedestrian,Area 1,Yes,Community Caretaking,,,F,Afr American,Psychiatric Hold
3/4/2021,Yes,Pedestrian,Area 1,Yes,Community Caretaking,,,F,Hispanic,Psychiatric Hold
3/27/2021,Yes,Pedestrian,Area 1,Yes,Community Caretaking,,,F,Hispanic,Psychiatric Hold
1/17/2021,Yes,Pedestrian,Area 3,Yes,Community Caretaking,,,F,Afr American,Psychiatric Hold
3/14/2021,Yes,Pedestrian,Area 2,Yes,Probable Cause,,,M,Afr American,Arrest
1/30/2021,Yes,Pedestrian,Area 3,No,Community Caretaking,,,M,Hispanic,Psychiatric Hold
3/1/2021,Yes,Pedestrian,Area 3,Yes,Probable Cause,,,M,Afr American,Warning
3/5/2021,Yes,Pedestrian,Area 3,Yes,Reasonable Suspicion,,,M,Other,Arrest
3/5/2021,Yes,Pedestrian,Area 3,Yes,Reasonable Suspicion,,,M,Afr American,No Action
1/15/2021,Yes,Pedestrian,Area 3,Yes,Community Caretaking,,,M,Hispanic,Psychiatric Hold
1/25/2021,Yes,Pedestrian,Area 3,Yes,Probable Cause,,,M,Afr American,Arrest
2/23/2021,No,Vehicle,Area 1,No,Traffic Violation,Moving violation,Driver,M,Afr American,Warning
1/3/2021,Yes,Pedestrian,Area 1,Yes,Probable Cause,,,F,Afr American,Arrest
2/1/2021,No,Pedestrian,Area 2,No,Community Caretaking,,,M,White,Psychiatric Hold
2/15/2021,Yes,Pedestrian,Area 2,Yes,Community Caretaking,,,F,Hispanic,Psychiatric Hold
2/27/2021,Yes,Pedestrian,Area 2,Yes,Reasonable Suspicion,,,M,Afr American,Arrest
3/30/2021,Yes,Pedestrian,Area 2,Yes,Probable Cause,,,M,Hispanic,No Action
1/26/2021,No,Pedestrian,Area 3,Yes,Reasonable Suspicion,,,M,Afr American,Arrest
3/18/2021,Yes,Vehicle,Area 3,Yes,Reasonable Suspicion,,Passenger,M,Hispanic,No Action
3/18/2021,Yes,Vehicle,Area 3,Yes,Reasonable Suspicion,,Driver,M,Hispanic,No Action
