Timestamp,Favorite_Part,Gender
11/20/2019 10:10:34,Breast,Female
11/20/2019 10:12:00,Wing,Female
11/20/2019 10:20:48,Wing,Female
11/20/2019 10:27:49,Wing,Male
11/20/2019 10:30:51,Leg,Female
11/20/2019 10:30:55,Breast,Male
11/20/2019 10:34:08,Thigh,Female
11/20/2019 10:34:20,Breast,Female
11/20/2019 10:35:08,Breast,Female
11/20/2019 10:35:31,Breast,Female
11/20/2019 10:36:01,Thigh,Male
11/20/2019 10:37:28,Leg,Female
11/20/2019 10:38:36,Breast,Female
11/20/2019 10:39:03,Leg,Female
11/20/2019 10:39:37,Breast,Male
11/20/2019 10:40:08,Thigh,Female
11/20/2019 10:41:09,Thigh,Male
11/20/2019 10:41:36,Thigh,Female
11/20/2019 10:43:58,Thigh,Male
11/20/2019 10:45:36,Thigh,Female
11/20/2019 10:45:42,Breast,Female
11/20/2019 10:49:32,Breast,Male
11/20/2019 10:49:57,Wing,Male
11/20/2019 10:51:14,Other,Female
11/20/2019 10:56:39,Leg,Male
11/20/2019 10:57:27,Leg,Male
11/20/2019 10:57:47,Thigh,Male
11/20/2019 11:00:25,Breast,Female
11/20/2019 11:00:39,Other,Female
11/20/2019 11:02:35,Wing,Female
11/20/2019 11:03:01,Breast,Female
11/20/2019 11:03:12,Thigh,Female
11/20/2019 11:03:56,Leg,Male
11/20/2019 11:04:28,Leg,Female
11/20/2019 11:05:16,Breast,Female
11/20/2019 11:05:57,Breast,Male
11/20/2019 11:06:00,Leg,Female
11/20/2019 11:06:22,Breast,Male
11/20/2019 11:08:47,Thigh,Female
11/20/2019 11:09:13,Thigh,Male
11/20/2019 11:09:42,Thigh,Female
11/20/2019 11:09:45,Leg,Female
11/20/2019 11:10:20,Wing,Male
11/20/2019 11:11:09,Breast,Female
11/20/2019 11:11:45,Breast,Male
11/20/2019 11:11:59,Breast,Male
11/20/2019 11:13:01,Breast,Male
11/20/2019 11:13:01,Wing,Female
11/20/2019 11:13:15,Breast,Male
11/20/2019 11:13:25,Leg,Male
11/20/2019 11:13:40,Thigh,Female
11/20/2019 11:13:44,Wing,Female
11/20/2019 11:14:05,Wing,Female
11/20/2019 11:15:32,Thigh,Male
11/20/2019 11:33:36,Wing,Male
11/21/2019 7:40:43,Breast,Female
11/21/2019 7:41:06,Thigh,Male
11/21/2019 7:42:20,Leg,Male
11/21/2019 7:42:47,Other,Male
11/21/2019 7:48:56,Wing,Male
11/21/2019 7:54:12,Breast,Male
11/21/2019 7:55:16,Leg,Female
11/21/2019 8:02:45,Breast,Female
11/21/2019 8:11:26,Leg,Female
11/21/2019 8:11:30,Breast,Male
11/21/2019 8:11:31,Leg,Male
11/21/2019 8:11:47,Breast,Female
11/21/2019 8:12:09,Breast,Female
11/21/2019 8:12:25,Thigh,Female
11/21/2019 8:12:39,Other,Female
11/21/2019 8:12:54,Breast,Male
11/21/2019 8:13:10,Other,Female
11/21/2019 8:14:10,Breast,Female
4/15/2020 7:57:49,Breast,Male
4/15/2020 9:10:58,Breast,Male
4/15/2020 10:04:01,Thigh,Female
4/15/2020 10:34:56,Thigh,Female
4/15/2020 11:02:28,Leg,Female
4/15/2020 11:03:52,Thigh,Male
4/15/2020 11:04:13,Wing,Female
4/15/2020 11:04:41,Leg,Male
4/15/2020 11:04:51,Thigh,Male
4/15/2020 11:04:52,Thigh,Female
4/15/2020 11:05:09,Thigh,Male
4/15/2020 11:05:39,Leg,Male
4/15/2020 11:05:48,Breast,Male
4/15/2020 11:15:23,Breast,Male
4/15/2020 14:15:50,Breast,Female
4/15/2020 14:32:48,Breast,Male
4/15/2020 15:54:13,Breast,Female
4/15/2020 16:13:10,Breast,Female
4/15/2020 18:20:44,Wing,Male
4/15/2020 18:26:48,Leg,Female
4/16/2020 2:29:23,Breast,Male
4/16/2020 8:52:53,Breast,Male
4/16/2020 8:56:31,Thigh,Male
4/16/2020 8:56:38,Breast,Male
4/16/2020 9:04:14,Breast,Male
4/16/2020 9:11:19,Wing,Male
4/16/2020 9:11:46,Wing,Female
4/16/2020 9:12:23,Leg,Female
,Thigh,Male
,Wing,Female
,Thigh,Male
,Breast,Male
,Wing,Female
,Thigh,Female
,Breast,Male
,Thigh,Female
,Breast,Male
,Thigh,Female
,Wing,Female
,Wing,Female
,Thigh,Female
,Leg,Female
,Wing,Male
,Leg,Male
,Leg,Female
,Wing,Male
,Breast,Female
,Leg,Female
,Wing,Female
,Breast,Male
,Thigh,Male
,Thigh,Female
,Leg,Female
,Leg,Female
,Breast,Female
,Breast,Female
,Breast,Female
,Breast,Female
,Breast,Female
,Breast,Female
,Breast,Male
,Other,Male
,Breast,Male
,Leg,Male
,Wing,Male
,Wing,Female
,Other,Male
,Breast,Female
,Breast,Female
,Breast,Female
,Wing,Male
,Thigh,Female
,Leg,Female
,Wing,Male
,Wing,Male
,Breast,Female
,Wing,Male
,Wing,Female
,Breast,Female
,Thigh,Male
,Wing,Female
,Thigh,Male
,Breast,Male
,Wing,Female
,Thigh,Female
,Breast,Male
,Thigh,Female
,Breast,Male
,Thigh,Female
,Wing,Female
,Wing,Female
,Thigh,Female
,Leg,Female
,Wing,Male
,Leg,Male
,Leg,Female
,Wing,Male
,Breast,Female
,Leg,Female
,Wing,Female
,Breast,Male
,Thigh,Male
,Thigh,Female
,Leg,Female
,Leg,Female
,Breast,Female
,Breast,Female
,Breast,Female
,Breast,Female
,Breast,Female
,Breast,Female
,Breast,Male
,Other,Male
,Breast,Male
,Leg,Male
,Wing,Male
,Wing,Female
,Other,Male
,Breast,Female
,Breast,Female
,Breast,Female
,Wing,Male
,Thigh,Female
,Leg,Female
,Wing,Male
,Wing,Male
,Breast,Female
,Wing,Male
,Wing,Female
,Breast,Female
,Wing,Female
,Breast,Female
,Breast,Female
,Breast,Female
,Thigh,Male
,Wing,Female
,Thigh,Male
,Other,Female
,Wing,Female
,Breast,Female
,Thigh,Male
,Leg,Male
,Leg,Female
,Leg,Male
,Breast,Male
,Thigh,Male
,Breast,Female
,Leg,Male
,Other,
,Leg,Male
,Wing,Female
,Breast,Female
,Leg,Female
,Wing,Male
,Wing,Male
,Wing,Male
,Breast,Male
,Wing,Male
,Breast,Male
,Breast,Male
,Wing,Male
,Wing,Male
,Breast,Female
,Breast,Female
,Breast,Female
,Thigh,Male
,Other,Female
,Thigh,Male
,Wing,Female
,Thigh,Male
,Breast,Female
,Wing,Male
,Wing,Male
,Leg,Male
,Thigh,Male
,Wing,Female
,Wing,Male
,Breast,Male
,Thigh,Male
,Leg,Male
,Other,Male
,Wing,Male
,Thigh,Female
,Leg,Female
,Breast,Male
,Wing,Female
,Breast,Male
,Breast,Male
,Breast,Male
,Breast,Female
,Wing,Male
,Leg,Female
,Wing,Male
,Wing,Male
,Wing,Female
,Wing,Female
,Wing,Female
,Leg,Male
,Breast,Female
,Thigh,Female
,Breast,Male
,Wing,Female
,Leg,Male
,Wing,Male
,Thigh,Male
,Wing,Male
,Breast,Female
,Wing,Female
,Wing,Female
,Leg,Female
,Leg,Female
,Breast,Female
,Wing,Female
,Wing,Female
,Wing,Male
,Leg,Female
,Breast,Male
,Thigh,Female
,Breast,Female
,Breast,Female
,Breast,Female
,Thigh,Male
,Leg,Female
,Breast,Female
,Leg,Female
,Breast,Male
,Thigh,Female
,Thigh,Male
,Thigh,Female
,Thigh,Male
,Thigh,Female
,Breast,Female
,Breast,Male
,Wing,Male
,Other,Female
,Leg,Male
,Leg,Male
,Thigh,Male
,Breast,Female
,Other,Female
,Wing,Female
,Breast,Female
,Thigh,Female
,Leg,Male
,Leg,Female
,Breast,Female
,Breast,Male
,Leg,Female
,Breast,Male
,Thigh,Female
,Thigh,Male
,Thigh,Female
,Leg,Female
,Wing,Male
,Breast,Female
,Breast,Male
,Breast,Male
,Breast,Male
,Wing,Female
,Breast,Male
,Leg,Male
,Thigh,Female
,Wing,Female
,Wing,Female
,Thigh,Male
,Wing,Male
,Breast,Female
,Thigh,Male
,Leg,Male
,Other,Male
,Wing,Male
,Breast,Male
,Leg,Female
,Breast,Female
,Leg,Female
,Breast,Male
,Leg,Male
,Breast,Female
,Breast,Female
,Thigh,Female
,Other,Female
,Breast,Male
,Other,Female
,Breast,Female
,Breast,Male
,Breast,Male
,Thigh,Female
,Thigh,Female
,Leg,Female
,Thigh,Male
,Wing,Female
,Leg,Male
,Thigh,Male
,Thigh,Female
,Thigh,Male
,Leg,Male
,Breast,Male
,Breast,Male
,Breast,Female
,Breast,Male
,Breast,Female
,Breast,Female
,Wing,Male
,Leg,Female
,Breast,Male
,Breast,Male
,Thigh,Male
,Breast,Male
,Breast,Male
,Wing,Male
,Wing,Female
,Leg,Female
,Thigh,Male
,Wing,Female
,Thigh,Male
,Breast,Male
,Wing,Female
,Thigh,Female
,Breast,Male
,Thigh,Female
,Breast,Male
,Thigh,Female
,Wing,Female
,Wing,Female
,Thigh,Female
,Leg,Female
,Wing,Male
,Leg,Male
,Leg,Female
,Wing,Male
,Breast,Female
,Leg,Female
,Wing,Female
,Breast,Male
,Thigh,Male
,Thigh,Female
,Leg,Female
,Leg,Female
,Breast,Female
,Breast,Female
,Breast,Female
,Breast,Female
,Breast,Female
,Breast,Female
,Breast,Male
,Other,Male
,Breast,Male
,Leg,Male
,Wing,Male
,Wing,Female
,Other,Male
,Breast,Female
,Breast,Female
,Breast,Female
,Wing,Male
,Thigh,Female
,Leg,Female
,Wing,Male
,Wing,Male
,Breast,Female
,Wing,Male
,Wing,Female
,Breast,Female
,Breast,Female
,Thigh,Male
,Thigh,Female
,Leg,Female
,Leg,Female
,Breast,Female
,Wing,Female
,Thigh,Female
,Breast,Male
,Breast,Female
,Leg,Male
,Breast,Female
,Breast,Male
,Thigh,Male
,Leg,Male
,Wing,Female
,Leg,Male
,Breast,Male
,Wing,Female
,Breast,Male
,Thigh,Female
,Breast,Female
,Wing,Male
,Thigh,Male
,Wing,Male
,Wing,Female
,Breast,Male
,Wing,Male
,Breast,Male
,Thigh,Female
,Wing,Female
,Other,Male
,Wing,Female
,Breast,Male
,Thigh,Female
,Leg,Female
,Leg,Male
,Wing,Male
,Other,Female
,Breast,Male
,Wing,Male
,Breast,Male
,Wing,Female
,Leg,Female
,Leg,Male
,Leg,Female
,Leg,Female
,Leg,Male
,Breast,Male
,Leg,Male
,Breast,Female
,Leg,Female
,Wing,Female
,Thigh,Male
,Breast,Female
,Breast,Male
,Breast,
,Breast,Female
,Wing,Female
,Wing,Female
,Wing,Male
,Breast,Female
,Thigh,Male
,Breast,Male
,Leg,Female
,Breast,Female
,Breast,Female
,Wing,Male
,Other,Female
,Leg,Male
,Thigh,Male
,Thigh,Male
