Timestamp,distance,home_to_job,school_to_job,travel_to_school,GPA,current_paid, work_status,sex,longitude ,latitude 
1/31/2024 23:38:59,5,4.6,2,I drive to school,2.6,19,Full-time,Male,-122.40425,37.61481
2/1/2024 10:27:42,5,5,2.5,I drive to school,3,19.5,Part-time,Male,2,2
2/1/2024 10:34:40,5.6,1,6.4,I don't drive to school,2,18.85,Part-time,Male,37.69273,-122.47672
2/1/2024 10:35:58,3.6,0.3,5.5,I drive to school,3.7,23,Part-time,Male,-122.48227,37.67517
2/1/2024 10:37:03,6.5,1,6.6,I don't drive to school,2,18.85,Part-time,Male,37.69273,-122.47672
2/1/2024 10:37:40,7.7,3.6,4.1,I drive to school,4,16,Part-time,Male,-122.493248,37.693451
2/1/2024 10:38:49,3,,,I don't drive to school,4,,Unemployed,Male,-122.4,37.6
2/1/2024 10:41:25,10,,,I drive to school,3.8,,Unemployed,Female,-122.506217,37.756843
2/1/2024 10:47:20,5,,,I don't drive to school,,,Unemployed,Female,0,0
2/1/2024 11:12:15,31,20,14,I drive to school,3.85,19,Part-time,Male,32.119801,-105.360262
2/1/2024 11:35:51,7.7,3.4,4,I drive to school,4,16,Part-time,Male,37.693451,-122.493248
2/1/2024 11:37:12,2.4,2,6.2,I drive to school,3.78,17.77,Part-time,Male,-122.456423,37.647386
2/1/2024 11:38:23,2.6,2,6.2,I drive to school,3.78,17.77,Part-time,Male,122.456423,37.647386
2/1/2024 11:42:54,1.9,0.4,1.9,I don't drive to school,2.3,17,Part-time,Female,-122.456258,37.641234
2/1/2024 11:47:50,6.3,0.6,5.6,I drive to school,3.6,22.5,Part-time,Female,3,5
2/1/2024 11:48:04,6,,,I drive to school,3.7,,Unemployed,Male,200,-320
2/1/2024 13:11:25,3.2,7.7,12,I drive to school,3.75,26,Full-time,Female,-122.472221,37.691109
2/1/2024 13:17:35,3,3,3,I drive to school,2.9,17.51,Part-time,Male,-122.49295,37.63682
2/1/2024 13:21:12,3.1,,,I don't drive to school,3.4,,Unemployed,Male,-122.45,37.6
2/1/2024 13:21:14,1.3,,,I drive to school,3.12,,Unemployed,Female,0,0
2/1/2024 13:22:09,4.6,,,I don't drive to school,3,,Unemployed,Male,-122.407481,37.617037
2/1/2024 13:23:12,2.4,,,I drive to school,1.83,,Unemployed,Male,122.45152,37.63776
2/1/2024 13:23:48,7.4,,,I don't drive to school,2.17,,Unemployed,Female,37.687923,-122.470207
2/1/2024 13:24:06,12,3.3,14,I drive to school,3.73,19.07,Part-time,Male,37.738171,-122.398593
2/1/2024 13:24:59,5.1,2,5.6,I drive to school,2.38,19.75,Part-time,Male,-122.48498,37.68259
2/1/2024 13:25:10,2.13,1.33,1.46,I don't drive to school,3,23,Part-time,Female,-122.490782,37.653199
2/1/2024 13:25:15,4.3,1.4,4.5,I drive to school,,18.75,Part-time,Female,-122.477192,37.672105
2/1/2024 13:25:17,3.2,0,3.2,I drive to school,,4.44,Full-time,Female,37.61023,122.41473
2/1/2024 13:25:54,1.6,,,I drive to school,3.42,,Unemployed,Female,-122.44039,37.62277
2/1/2024 13:26:08,1.3,,,I drive to school,3.12,,Unemployed,Female,-122.472202,37.632147
2/1/2024 13:26:10,4,3.9,3.8,I drive to school,4,19,Full-time,Female,-122.425432,37.65907
2/1/2024 13:26:18,6,12,7.2,I drive to school,2.24,33,Full-time,Female,-122.40803,37.71638
2/1/2024 13:26:40,6.6,,,I don't drive to school,3.91,,Part-time,Female,-122.392061,37.603737
2/1/2024 13:27:02,4.2,5.1,8.4,I don't drive to school,,18,Part-time,Male,37.6651614,122.4618062
2/1/2024 13:27:06,4,7,11,I don't drive to school,,18,Part-time,Female,-122.47989,37.67164
2/1/2024 13:27:09,3.2,,,I don't drive to school,,,Unemployed,Female,122.48176,37.67491
2/1/2024 13:28:04,4,4,6,I drive to school,2.83,20,Part-time,Male,37.638569,-122.429424
2/1/2024 13:28:05,3,,,I drive to school,,,Unemployed,Female,-122.478845,37.671731
2/1/2024 13:28:48,4.6,,,I don't drive to school,3,,Unemployed,Male,-122.407496,37.617089
2/1/2024 13:28:51,1.6,12.1,11.3,I drive to school,2.9,22,Part-time,Female,37.6,-122.4
2/1/2024 13:30:38,5.3,8.7,3.5,I drive to school,2.58,16,Part-time,Female,0,0
2/1/2024 13:30:49,5.3,8.7,3.5,I drive to school,3.01,16,Part-time,Female,0,0
2/1/2024 13:31:50,4.3,,,I drive to school,2.85,,Unemployed,Female,37.66294484,-122.4311708
2/1/2024 13:33:02,3,4,5,I drive to school,2.75,23,Part-time,Male,37.61396,122.43349
2/1/2024 13:34:05,1,15.3,15.7,I don't drive to school,,20.25,Full-time,Male,-122.449754,37.63187
2/1/2024 13:34:06,72,56.1,5.5,I drive to school,1.91,22.5,Part-time,Female,-122.018549,38.251671
2/1/2024 13:34:32,5.148,,,I don't drive to school,14,,Unemployed,Female,-122.49195,37.701354
2/1/2024 13:35:32,5.148,,,I don't drive to school,14,,Unemployed,Female,-122.49195,37.701354
2/1/2024 13:37:04,2.6,,,I drive to school,3.57,,Unemployed,Male,122.477833,37.653396
2/1/2024 13:39:55,4,,,I don't drive to school,1.54,,Full-time,Female,-122.4210133,37.6576628
2/1/2024 13:46:38,4,3.9,3.8,I drive to school,4,19,Full-time,Female,-122.425432,37.65907
2/1/2024 18:58:54,3.5,,,I drive to school,2.8,,Unemployed,Male,-122.418411,37.653191
2/1/2024 22:55:35,6.4,2.1,4.3,I don't drive to school,3.1,18.5,Part-time,Female,-122.472221,37.691109
2/1/2024 22:57:32,6.4,2.1,4.3,I don't drive to school,3.1,18.5,Part-time,Female,-122.472221,37.691109
2/2/2024 8:17:48,10,,,I drive to school,3.1,17,Part-time,Female,-122.40483,37.59532
2/2/2024 10:20:29,4.3,,,I drive to school,3.8,,Unemployed,Female,-122.42153,37.66124
2/2/2024 13:04:06,4.8,,,I don't drive to school,3.92,,Unemployed,Female,-122.486878,37.674217
2/2/2024 13:16:11,5.2,7.6,12,I drive to school,3.67,17.03,Part-time,Female,122.40991,37.660839
2/2/2024 17:36:30,1.9,,,I drive to school,3.85,,Unemployed,Male,-122.46648,37.64471
2/2/2024 17:38:48,1.8,,,I drive to school,3.85,,Unemployed,Male,-122.46648,37.64471
2/2/2024 17:43:33,3.9,4.4,7.1,I don't drive to school,2.6,17,Part-time,Female,-122.428,37.64
2/2/2024 19:01:54,5,,,I drive to school,3.6,,Unemployed,Male,-102.7979,46.88278
2/3/2024 0:58:56,3.3,7.3,11,I don't drive to school,3.85,18,Part-time,Female,-122.472221,37.691109
2/3/2024 14:39:48,5,8.4,5.2,I drive to school,2.5,21.99,Part-time,Male,-122.470207,37.687923
2/3/2024 17:10:52,8.8,5.3,7.8,I drive to school,4,22,Part-time,Female,-122.420036,37.700539
2/3/2024 19:48:26,4.3,0.5,3.9,I don't drive to school,3.5,16.7,Part-time,Female,-122.41248,37.65568
2/3/2024 20:41:21,7.6,9.6,16,I drive to school,,20,Part-time,Female,-122.46237,37.70797
2/3/2024 20:42:21,7.6,9.6,17,I drive to school,,20,Part-time,Female,-122.46237,37.70797
2/3/2024 22:04:08,4.7,1.4,3.8,I don't drive to school,2,24,Part-time,Female,-122.45812,37.66167
2/3/2024 22:30:08,3.6,11,9.3,I drive to school,1.94,19.25,Part-time,Female,-122.34582,37.57952
2/3/2024 22:41:31,2,9,11,I drive to school,3.4,25,Part-time,Male,-122.47739,37.65019
2/3/2024 23:30:04,2.3,5.2,9.6,I drive to school,3,19,Part-time,Male,-122.45795,37.66239
2/3/2024 23:40:03,7.8,,,I don't drive to school,3.4,,Unemployed,Male,-122.50206,37.738312
2/4/2024 14:35:21,2,,,I drive to school,3.2,,Part-time,Male,-122.48758,37.64977
2/4/2024 22:08:29,2.1,1.3,4.3,I drive to school,3.31,21,Part-time,Female,-122.48394,37.65684
2/5/2024 11:48:56,5.3,0.2,5.4,,2.47,19.19,Full-time,Male,-122.48768,37.68908
2/5/2024 19:01:53,3.6,0.03,3.6,I drive to school,3.85,23,Part-time,Male,-122.482269,37.675171
2/5/2024 19:44:12,4.2,,,,,,Unemployed,Female,-122.41379,37.63762
2/5/2024 21:16:16,4.2,5.1,6.5,I drive to school,2.01,22,Full-time,Female,-122.4296,37.65389
2/5/2024 21:19:31,2.2,,,I don't drive to school,2.5,,Unemployed,Male,-122.4387,37.64259
2/5/2024 23:01:44,12,2,12,I drive to school,2,0,Unemployed,Male,37.7,-122.3
2/6/2024 3:18:05,8.3,3.3,14,I drive to school,3.77,19.07,Part-time,Male,-122.39866,37.7382
2/6/2024 10:13:25,2,8,7,I drive to school,2,25,Part-time,Male,22,100
2/6/2024 13:05:21,5.8,0,5.8,I drive to school,,4.44,Full-time,Female,37.61023,122.414
2/6/2024 13:24:04,3.2,,,I don't drive to school,,,Unemployed,Female,-122.48181,37.6749
2/6/2024 15:15:38,1.2,1.2,,I drive to school,3.12,,Unemployed,Female,1,2
2/8/2024 15:47:54,12,15,7.3,I drive to school,2.76,30,Full-time,Female,37.71072,122.40997
